code,description,category,is_bonus_eligible,visa_description
3670,ARCARD HOTELS,airline,true,
3671,ARCTIA HOTELS,airline,true,
3672,CAMPANIEL HOTELS,airline,true,
3673,IBUSZ HOTELS,airline,true,
3674,RANTASIPI HOTELS,airline,true,
3675,INTERHOTEL CEDOK,airline,true,
3676,Hotels/Motels/Inns/Resorts,airline,true,
3677,CLIMAT DE FRANCE HOTELS,airline,true,
3678,CUMULUS HOTELS,airline,true,
3679,DANUBIUS HOTEL,airline,true,
3680,Hotels/Motels/Inns/Resorts,airline,true,
3681,ADAMS MARK HOTELS,airline,true,
3682,ALLSTAR INNS,airline,true,
3683,Hotels/Motels/Inns/Resorts,airline,true,
3684,BUDGET HOST INNS,airline,true,
3685,BUDGETEL HOTELS,airline,true,
3686,SUISSE CHALETS,airline,true,
3687,CLARION HOTELS,airline,true,
3688,COMPRI HOTELS,airline,true,
3689,CONSORT HOTELS,airline,true,
3690,COURTYARD BY MARRIOTT,airline,true,
3691,DILLION INNS,airline,true,
3692,DOUBLETREE HOTELS,airline,true,
3693,DRURY INNS,airline,true,
3694,ECONOMY INNS OF AMERICA,airline,true,
3695,EMBASSY SUITES,airline,true,
3696,EXEL INNS,airline,true,
3697,FARFIELD HOTELS,airline,true,
3698,HARLEY HOTELS,airline,true,
3699,MIDWAY MOTOR LODGE,airline,true,
3700,MOTEL 6,airline,true,
3701,GUEST QUARTERS (Formally PICKETT SUITE HOTELS),airline,true,
3702,THE REGISTRY HOTELS,airline,true,
3703,RESIDENCE INNS,airline,true,
3704,ROYCE HOTELS,airline,true,
3705,SANDMAN INNS,airline,true,
3706,SHILO INNS,airline,true,
3707,SHONEY’S INNS,airline,true,
3708,Hotels/Motels/Inns/Resorts,airline,true,
3709,SUPER8 MOTELS,airline,true,
3710,THE RITZ CARLTON HOTELS,airline,true,
3711,FLAG INNS (AUSRALIA),airline,true,
3712,GOLDEN CHAIN HOTEL,airline,true,
3713,QUALITY PACIFIC HOTEL,airline,true,
3714,FOUR SEASONS HOTEL (AUSTRALIA),airline,true,
3715,FARIFIELD INN,airline,true,
3716,CARLTON HOTELS,airline,true,
3717,CITY LODGE HOTELS,airline,true,
3718,KAROS HOTELS,airline,true,
3719,PROTEA HOTELS,airline,true,
3720,SOUTHERN SUN HOTELS,airline,true,
3721,HILTON CONRAD,airline,true,
3722,WYNDHAM HOTEL AND RESORTS,airline,true,
3723,RICA HOTELS,airline,true,
3724,INER NOR HOTELS,airline,true,
3725,SEAINES PLANATION,airline,true,
3726,RIO SUITES,airline,true,
3727,BROADMOOR HOTEL,airline,true,
3728,BALLY’S HOTEL AND CASINO,airline,true,
3729,JOHN ASCUAGA’S NUGGET,airline,true,
3730,MGM GRAND HOTEL,airline,true,
3731,HARRAH’S HOTELS AND CASINOS,airline,true,
3732,OPRYLAND HOTEL,airline,true,
3733,BOCA RATON RESORT,airline,true,
3734,HARVEY/BRISTOL HOTELS,airline,true,
3735,Hotels/Motels/Inns/Resorts,airline,true,
3736,COLORADO BELLE/EDGEWATER RESORT,airline,true,
3737,RIVIERA HOTEL AND CASINO,airline,true,
3738,TROPICANA RESORT AND CASINO,airline,true,
3739,WOODSIDE HOTELS AND RESORTS,airline,true,
3740,TOWNPLACE SUITES,airline,true,
3741,MILLENIUM BROADWAY HOTEL,airline,true,
3742,CLUB MED,airline,true,
3743,BILTMORE HOTEL AND SUITES,airline,true,
3744,CAREFREE RESORTS,airline,true,
3745,ST. REGIS HOTEL,airline,true,
3746,THE ELIOT HOTEL,airline,true,
3747,CLUBCORP/CLUB RESORTS,airline,true,
3748,WELESLEY INNS,airline,true,
3749,THE BEVERLY HILLS HOTEL,airline,true,
3750,CROWNE PLAZA HOTELS,airline,true,
3751,HOMEWOOD SUITES,airline,true,
3752,PEABODY HOTELS,airline,true,
3753,GREENBRIAH RESORTS,airline,true,
3754,AMELIA ISLAND PLANATION,airline,true,
3755,THE HOMESTEAD,airline,true,
3756,SOUTH SEAS RESORTS,airline,true,
3757,Hotels/Motels/Inns/Resorts,airline,true,
3758,Hotels/Motels/Inns/Resorts,airline,true,
3759,Hotels/Motels/Inns/Resorts,airline,true,
3760,Hotels/Motels/Inns/Resorts,airline,true,
3761,Hotels/Motels/Inns/Resorts,airline,true,
3762,Hotels/Motels/Inns/Resorts,airline,true,
3763,Hotels/Motels/Inns/Resorts,airline,true,
3764,Hotels/Motels/Inns/Resorts,airline,true,
3765,Hotels/Motels/Inns/Resorts,airline,true,
3766,Hotels/Motels/Inns/Resorts,airline,true,
